code,description,periods,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,restrict_types,permit_no
R8-30PSPZX-11,"30 M 9A-3P MON-FRI 8A-8P SAT PAY @ PS, 3 M PLZ 6-9A 3-8P MON-FRI",,30,9,15,6,1,1,1,1,1,,,,,,
R8-30PSPZX-11,"30 M 9A-3P MON-FRI 8A-8P SAT PAY @ PS, 3 M PLZ 6-9A 3-8P MON-FRI",,30,8,20,12,,,,,,1,,,,,
R8-30PSPZX-11,"30 M 9A-3P MON-FRI 8A-8P SAT PAY @ PS, 3 M PLZ 6-9A 3-8P MON-FRI",,,6,9,3,1,1,1,1,1,,,,,dropoff,
R8-30PSPZX-11,"30 M 9A-3P MON-FRI 8A-8P SAT PAY @ PS, 3 M PLZ 6-9A 3-8P MON-FRI",,,15,20,5,1,1,1,1,1,,,,,dropoff,
R8-30PSPZX-12,"30 M 9A-4P MON THRU FRI 8A-8P SAT PAY @ PS, 3 M PLZ 7-9AM 4-8P MON THRU FRI",,30,9,16,7,1,1,1,1,1,,,,,,
R8-30PSPZX-12,"30 M 9A-4P MON THRU FRI 8A-8P SAT PAY @ PS, 3 M PLZ 7-9AM 4-8P MON THRU FRI",,30,8,20,12,,,,,,1,,,,,
R8-30PSPZX-12,"30 M 9A-4P MON THRU FRI 8A-8P SAT PAY @ PS, 3 M PLZ 7-9AM 4-8P MON THRU FRI",,,7,9,2,1,1,1,1,1,,,,,dropoff,
R8-30PSPZX-12,"30 M 9A-4P MON THRU FRI 8A-8P SAT PAY @ PS, 3 M PLZ 7-9AM 4-8P MON THRU FRI",,,16,20,4,1,1,1,1,1,,,,,dropoff,
R8-30PSSTX,NO STOPS 3-7PM TAZ EXC SAT-SUN-HOL 30 M 8AM-3PM 7-8PM MON-FRI 8AM-8PM SAT PAY @ PS,,,15,19,4,1,1,1,1,1,,,,,,
R8-30PSSTX,NO STOPS 3-7PM TAZ EXC SAT-SUN-HOL 30 M 8AM-3PM 7-8PM MON-FRI 8AM-8PM SAT PAY @ PS,,30,8,15,7,1,1,1,1,1,,,,,,
R8-30PSSTX,NO STOPS 3-7PM TAZ EXC SAT-SUN-HOL 30 M 8AM-3PM 7-8PM MON-FRI 8AM-8PM SAT PAY @ PS,,30,19,20,1,1,1,1,1,1,,,,,,
R8-30PSSTX,NO STOPS 3-7PM TAZ EXC SAT-SUN-HOL 30 M 8AM-3PM 7-8PM MON-FRI 8AM-8PM SAT PAY @ PS,,30,8,20,12,,,,,,1,,,,,
R8-30PSSTX-1,"NO STOPS 6-9A 3-6P TAZ EXC SAT-SUN-HOL, 30M 9A-3P PAY @ PS EXC SUN-HOL",,,6,9,3,1,1,1,1,1,,,,,,
R8-30PSSTX-1,"NO STOPS 6-9A 3-6P TAZ EXC SAT-SUN-HOL, 30M 9A-3P PAY @ PS EXC SUN-HOL",,,15,18,3,1,1,1,1,1,,,,,,
R8-30PSSTX-1,"NO STOPS 6-9A 3-6P TAZ EXC SAT-SUN-HOL, 30M 9A-3P PAY @ PS EXC SUN-HOL",,30,9,15,6,1,1,1,1,1,1,,,,,
R8-30PSSTX-2,NO STOPS 7-9AM TAZ EXC SAT-SUN-HOL 30 M 9AM-8PM MON-FRI 8AM-8PM SAT PAY @ PS,,,7,9,2,1,1,1,1,1,,,,,,
R8-30PSSTX-2,NO STOPS 7-9AM TAZ EXC SAT-SUN-HOL 30 M 9AM-8PM MON-FRI 8AM-8PM SAT PAY @ PS,,30,9,20,11,1,1,1,1,1,,,,,,
R8-30PSSTX-2,NO STOPS 7-9AM TAZ EXC SAT-SUN-HOL 30 M 9AM-8PM MON-FRI 8AM-8PM SAT PAY @ PS,,30,8,20,12,,,,,,1,,,,,
R8-30PSX,"30 M LIMIT 8A-4P 6-8P MON-FRI,8A-8P SAT,THIS SPACE, PAY AT PAYSTATION",,30,8,16,8,1,1,1,1,1,,,,,dropoff,
R8-30PSX,"30 M LIMIT 8A-4P 6-8P MON-FRI,8A-8P SAT,THIS SPACE, PAY AT PAYSTATION",,30,16,20,4,1,1,1,1,1,,,,,dropoff,
R8-30PSX,"30 M LIMIT 8A-4P 6-8P MON-FRI,8A-8P SAT,THIS SPACE, PAY AT PAYSTATION",,30,8,20,12,,,,,,1,,,,dropoff,
R8-30PSX-1,30 MIN LIMIT AT ALL TIMES PAY AT PS 8AM-8PM EXC SUN - HOL,,30,0,8,8,,,,,,,,1,,,
R8-30PSX-1,30 MIN LIMIT AT ALL TIMES PAY AT PS 8AM-8PM EXC SUN - HOL,,30,8,20,12,1,1,1,1,1,1,,,,,
R8-30PSX-1,30 MIN LIMIT AT ALL TIMES PAY AT PS 8AM-8PM EXC SUN - HOL,,30,20,24,4,,,,,,,,1,,,
R8-30PSX-1,30 MIN LIMIT AT ALL TIMES PAY AT PS 8AM-8PM EXC SUN - HOL,,30,8,20,12,,,,,,,1,,,,
R8-3HPSX,3 H PARKING 8A-6P PAY @ PS EXC SUN-HOL,,180,8,18,10,1,1,1,1,1,1,,,,,
R8-3HR,3 H PARKING 7A-6P EXC SUN-HOL,,180,7,18,11,1,1,1,1,1,1,,,,,
R8-3HR-1,3 H PARKING 7A-9P EVERYDAY,,180,7,21,14,,,,,,,,1,,,
R8-3HRX,3 H PARKING 7A-10P EXC SUN-HOL,,180,7,22,15,1,1,1,1,1,1,,,,,
R8-4HR,4 H PARKING 7A-6P EXC SUN-HOL,,240,7,18,11,1,1,1,1,1,1,,,,,
R8-4HR-1,2 HOUR PARKING 7AM-6PM EXC SUN-HOL,,120,7,18,11,1,1,1,1,1,1,,,,,
R8-4HRSUN,4 HOUR [CIRCLE P] 10AM-6PM SUNDAYS NO PAYMENT REQUIRED,,240,10,18,8,,,,,,,1,,,,
R8-4HRX,"4 HOUR [PARKING SYMBOL] 7A - 8 P, EVERYDAY",,240,7,20,13,,,,,,,,1,,,
R8-4HRX-1,4 HOUR PARKING 7A-10P EVERYDAY,,240,7,22,15,,,,,,,,1,,,
R8-4HRX-2,4 HOUR LIMIT,,240,0,24,24,,,,,,,,1,,,
R8-4HZ15,"4 H PARKING NOON-6A, EXC BY ZN 15 PERMIT",,240,12,24,12,,,,,,,,1,,permit,15
R8-4HZ15,"4 H PARKING NOON-6A, EXC BY ZN 15 PERMIT",,240,0,6,6,,,,,,,,1,,permit,15
R8-4HZ16,"4 H [Circle P] 7A-6P MON-FRI, EXC BY ZN 16 PERMIT",,240,7,18,11,1,1,1,1,1,,,,,permit,16
R8-4HZ28,"4 H [Circle P] 7A-6P MON-FRI, EXC BY ZN 28 PERMIT",,240,7,18,11,1,1,1,1,1,,,,,permit,28
R8-4HZ29,"4 H [Circle P] 7A-6P MON-FRI, EXC BY ZN 29 PERMIT",,240,7,18,11,1,1,1,1,1,,,,,permit,29
R8-4HZ30,"4 H [Circle P] 7A-6P MON-FRI, EXC BY ZN 30 PERMIT",,240,7,18,11,1,1,1,1,1,,,,,permit,30
R8-4HZ4,"4 H PARKING 7A-6P EXC SUN-HOL, EXC BY ZN 4 PERMIT",,240,7,18,11,1,1,1,1,1,1,,,,permit,4
R8-4HZ8,"4 H PARKING 7A-6P EXC SUN-HOL, EXC BY ZONE 8 PERMIT",,240,7,18,11,1,1,1,1,1,1,,,,permit,8
R8-4HZ9,"4 H PARKING 7A-6P EXC SUN-HOL, EXC BY ZONE 9 PERMIT",,240,7,18,11,1,1,1,1,1,1,,,,permit,9
R8-6HRE,6 HOUR [CIRLCE P] 7AM-6PM EVERYDAY,,360,7,18,11,,,,,,,,1,,,
R8-BL2H8L,"2 HOURS MAX, PAY 8AM-8PM MON-SAT",,120,8,20,12,1,1,1,1,1,1,,,,,
R8-BL2H8R,"2 HOURS MAX, PAY 8AM-8PM MON-SAT",,120,8,20,12,1,1,1,1,1,1,,,,,
R8-BL2L,"2 H MAX, PAY TO PARK THIS BLOCK",,120,8,20,12,1,1,1,1,1,1,,,,,
R8-BL2R,2 HOURS MAX PAY TO PARK THIS BLOCK,,120,8,20,12,1,1,1,1,1,1,,,,,
R8-BL2Z25,[CIRCLE P] 2 HOURS MAX Pay 9A-4P,,120,8,18,10,1,1,1,1,1,1,,,,,
R8-BL4H8,4 Hours MAX Pay 8am-8pm Mon-Sat Unless Otherwise Posted,,240,8,20,12,1,1,1,1,1,1,,,,,
R8-BL4H8L,4 Hours MAX Pay 8am-8pm Mon-Sat Unless Otherwise Posted,,240,8,20,12,1,1,1,1,1,1,,,,,
R8-BL4H8R,4 Hours MAX Pay 8am-8pm Mon-Sat Unless Otherwise Posted,,240,8,20,12,1,1,1,1,1,1,,,,,
R8-BL4Z25,[CIRCLE P] 4 HOURS MAX PAY 9A-4P,,240,9,16,7,1,1,1,1,1,1,,,,,
R8-BL7Z25,4 HOURS MAX PAY 9A-4P ALSO VALID HERE RPZ 25,,240,9,16,7,1,1,1,1,1,1,,,,,
R8-BUSLAY,METRO BUS ONLY 24 HOURS EVERYDAY,,,0,24,24,,,,,,,,1,,bus,
R8-BUSLAYX,COMMUNITY TRANSIT ONLY NOON-6P MON-FRI,,,12,18,6,1,1,1,1,1,,,,,bus,
R8-BUSLAYX,"PAY @ PS, 8A-3P 6-8P, 8A-8P, SAT, METRO BUS ONLY, 3-6P, MON-FRI",,,15,18,3,1,1,1,1,1,,,,,bus,
R8-BUSLAYX,"PAY @ PS, 8A-3P 6-8P, 8A-8P, SAT, METRO BUS ONLY, 3-6P, MON-FRI",,,8,15,7,1,1,1,1,1,,,,,,
R8-BUSLAYX,"PAY @ PS, 8A-3P 6-8P, 8A-8P, SAT, METRO BUS ONLY, 3-6P, MON-FRI",,,16,20,4,1,1,1,1,1,,,,,,
R8-BUSLAYX,"PAY @ PS, 8A-3P 6-8P, 8A-8P, SAT, METRO BUS ONLY, 3-6P, MON-FRI",,,8,20,12,,,,,,1,,,,,
R8-BUSLAYX-1,COMMUNITY TRANSIT ONLY 3-6 PM MON-FRI,,,15,18,3,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-2,METRO BUSES ONLY 7A-11:30A MON-FRI,,,7,11.5,4.5,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-3,"METRO,BUSES,ONLY,3-8PM,MON-FRI",,,15,20,5,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-4,"METRO, BUSES, ONLY, NOON-6PM, MON-FRI",,,12,18,6,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-5,"METRO BUS ONLY,5-9AM,MON-FRI",,,5,9,4,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-6,"PAY @ PS 8AM-2PM 7-8PM MON-FRI 8AM-8PM SAT, METRO BUSES ONLY 2-7PM MON-FRI",,,14,19,5,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-6,"PAY @ PS 8AM-2PM 7-8PM MON-FRI 8AM-8PM SAT, METRO BUSES ONLY 2-7PM MON-FRI",,,8,14,6,1,1,1,1,1,,,,,,
R8-BUSLAYX-6,"PAY @ PS 8AM-2PM 7-8PM MON-FRI 8AM-8PM SAT, METRO BUSES ONLY 2-7PM MON-FRI",,,19,20,1,1,1,1,1,1,,,,,,
R8-BUSLAYX-6,"PAY @ PS 8AM-2PM 7-8PM MON-FRI 8AM-8PM SAT, METRO BUSES ONLY 2-7PM MON-FRI",,,8,20,12,,,,,,1,,,,,
R8-BUSLAYX-7,CT BUSES ONLY 3-6 PM MON- FRI.,,,15,18,3,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-8,METRO BUSES ONLY 5-9A MON-FRI,,,5,9,4,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-9,METRO BUSES ONLY 24 HOURS SAT-SUN,,,0,24,24,,,,,,1,1,,,bus,
R8-BUSLAYX-10,METRO BUSES ONLY 6-9A 3-6P MON-FRI,,,6,9,3,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-10,METRO BUSES ONLY 6-9A 3-6P MON-FRI,,,15,18,3,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-11,METRO BUS ONLY 6AM-10PM EVERYDAY,,,6,22,16,,,,,,,,1,,bus,
R8-BUSLAYX-12,METRO BUSES ONLY 5-10A MON-FRI,,,5,10,5,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-13,"METRO BUSES ONLY 3-6PM,MON-FRI",,,15,18,3,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-14,METRO BUSES ONLY 6-10A 2-6P MON-FRI,,,6,10,4,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-14,METRO BUSES ONLY 6-10A 2-6P MON-FRI,,,14,18,4,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-15,METRO BUSES ONLY 7-9A 2-4P MON-FRI,,,7,9,2,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-15,METRO BUSES ONLY 7-9A 2-4P MON-FRI,,,14,16,2,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-16,METRO BUSES ONLY 6-9A MON-FRI 9P-MIDNIGHT EVERYDAY,,,6,9,3,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-16,METRO BUSES ONLY 6-9A MON-FRI 9P-MIDNIGHT EVERYDAY,,,21,24,3,,,,,,,,1,,bus,
R8-BUSLAYX-17,"SOUND, TRANSIT, ONLY, NOON-6PM, MON-FRI",,,12,18,6,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-18,COMMUNITY TRANSIT ONLY NOON-6P MON-FRI,,,12,18,6,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-19,"METRO, BUSES, ONLY, 5AM-10PM, MON-FRI, 2 HOUR, LIMIT, 8AM-8PM, SATURDAY",,,5,22,17,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-19,"METRO, BUSES, ONLY, 5AM-10PM, MON-FRI, 2 HOUR, LIMIT, 8AM-8PM, SATURDAY",,120,8,20,12,,,,,,1,,,,,
R8-BUSLAYX-20,METRO BUSES ONLY 6-9A MON-FRI,,,6,9,3,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-21,COMMUNITY TRANSIT ONLY NOON-7P M-F,,,12,19,7,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-22,"METRO BUS ONLY,6-9AM,MON-FRI",,,6,9,3,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-23,METRO BUSES ONLY 4-7PM MON-FRI,,,16,19,3,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-24,"METRO, BUSES, ONLY, 6-10 AM, 2-6 PM, MON-FRI",,,6,10,4,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-24,"METRO, BUSES, ONLY, 6-10 AM, 2-6 PM, MON-FRI",,,14,18,4,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-25,COMMUNITY TRANSIT ONLY NOON-6P MON-FRI,,,12,18,6,1,1,1,1,1,,,,,bus,
R8-BUSLAYX-26,METRO BUSES ONLY 2-7PM- MON-SAT,,,14,19,5,1,1,1,1,1,1,,,,bus,
R8-BUSLAYX-27,METRO BUSES ONLY  MON-FRI,,,0,24,24,1,1,1,1,1,,,,,bus,
R8-BUSONLX,METRO BUSES ONLY 3-6P MON-FRI,,,15,18,3,1,1,1,1,1,,,,,bus,
R8-BUSONLX-1,METRO BUSES ONLY ,,,0,24,24,,,,,,,,1,,bus,
R8-BUSONLX-2,METRO BUSES ONLY 6A-7P MON-FRI,,,6,19,13,1,1,1,1,1,,,,,bus,
R8-BUSONLX-3,METRO BUSES ONLY 1-4AM EVERYDAY,,,1,4,3,,,,,,,,1,,bus,
R8-BUSONLX-4,METRO BUSES ONLY 6-9A MON-FRI,,,6,9,3,1,1,1,1,1,,,,,bus,
R8-BUSONLX-5,METRO BUSES ONLY 2-7P MON-FRI,,,14,19,5,1,1,1,1,1,,,,,bus,
R8-BUSONLX-6,METRO BUSES ONLY 3-6P MON-FRI,,,15,18,3,1,1,1,1,1,,,,,bus,
R8-CARPL10,CARPOOL PARKING ONLY 7-10AM MON-FRI,,,7,10,3,1,1,1,1,1,,,,,permit,carpool
R8-CARPLX,CARPOOL PARKING ONLY EVERYDAY,,,0,24,24,,,,,,,,1,,permit,carpool
R8-CARPLX-1,CARPOOL PARKING ONLY 3PM-7AM MON-FRI,,,15,24,9,1,1,1,1,1,,,,,permit,carpool
R8-CARPLX-1,CARPOOL PARKING ONLY 3PM-7AM MON-FRI,,,0,7,7,1,1,1,1,1,,,,,permit,carpool
R8-CHRTR,15 M CHARTER BUS ONLY,,,0,24,24,,,,,,,,1,,bus,
R8-CHRTRX,5 MINUTE CHARTER BUS ONLY 7AM-8PM EVERYDAY,,,7,20,13,,,,,,,,1,,bus,
R8-CHRTRX-1,CHARTER BUS ONLY ,,,0,24,24,,,,,,,,1,,bus,
R8-CHRTRX-2,"CHARTER BUS,ONLY,1 HOUR,LIMIT",,,0,24,24,,,,,,,,1,,bus,
R8-CHRTRX-3,"15 M CHARTER BUS ONLY 6-8P EVERYDAY, NO STOPS 4-6P EXC SAT-SUN-HOL",,,16,20,4,,,,,,,,1,,bus,
R8-CHRTRX-4,"BUS 6-9AM 3-7PM EXC SAT-SUN-HOL, 30 M CLZ 9AM-3PM EXC SUN-HOL USE METER EXC WITH PERMIT",,,6,9,3,1,1,1,1,1,,,,,bus,
R8-CHRTRX-4,"BUS 6-9AM 3-7PM EXC SAT-SUN-HOL, 30 M CLZ 9AM-3PM EXC SUN-HOL USE METER EXC WITH PERMIT",,,15,19,4,1,1,1,1,1,,,,,bus,
R8-CHRTRX-4,"BUS 6-9AM 3-7PM EXC SAT-SUN-HOL, 30 M CLZ 9AM-3PM EXC SUN-HOL USE METER EXC WITH PERMIT",,30,9,15,6,1,1,1,1,1,1,,,,permit,commercial
R8-CHRTRX-5,15 M CHARTER BUS ONLY 8A-6P,,,8,18,10,,,,,,,,1,,bus,
R8-CHRTRX-6,CHARTER BUS ONLY 3 HOUR LIMIT,,,0,24,24,,,,,,,,1,,bus,
R8-CHRTRX-7,"15 M CHARTER BUS ONLY, NO STOPS 6-9A 3-7P EXC SAT-SUN-HOL",,,6,9,3,1,1,1,1,1,,,,,bus,
R8-CHRTRX-7,"15 M CHARTER BUS ONLY, NO STOPS 6-9A 3-7P EXC SAT-SUN-HOL",,,15,19,4,1,1,1,1,1,,,,,bus,
R8-CHRTRX-8,CHARTER BUS ONLY,,,0,24,24,,,,,,,,1,,bus,
R8-CHRTRX-9,"15 M CHARTER BUS ONLY 6-8PM EVERYDAY, NO STOPS 3-6PM EXC SAT-SUN-HOL",,,0,24,24,,,,,,,,1,,bus,
R8-CHRTRX-10,"15M CHARTER BUS ONLY, NO STOPS 6-9A EXC SAT-SUN-HOL",,,6,9,3,1,1,1,1,1,,,,,bus,
R8-CHRTRX-11,5 M CHARTER BUS ONLY,,,0,24,24,,,,,,,,1,,bus,
R8-CHRTRX-12,"15M,CHARTER BUS,ONLY",,,0,24,24,,,,,,,,1,,bus,
R8-CLZ,"30 M CLZ 7A-6P EXC SUN-HOL, USE PS EXC WITH PERMIT, TAZ",,30,7,18,11,1,1,1,1,1,1,,,,permit,commercial
R8-CLZ8PM,"30 M CLZ 7A-8P EXC SUN-HOL, USE PS EXC WITH PERMIT, TAZ",,30,7,20,13,1,1,1,1,1,1,,,,permit,commercial
R8-CLZBUSX,"BUS, 11AM-7AM EVERYDAY, 30 MINUTE COMMERCIAL OR PERMIT VEHICLE LOAD ONLY, 7AM-11AM, EXCEPT SUN-HOL USE PS EXCEPT WITH PERMIT",,,11,24,13,,,,,,,,1,,bus,
R8-CLZBUSX,"BUS, 11AM-7AM EVERYDAY, 30 MINUTE COMMERCIAL OR PERMIT VEHICLE LOAD ONLY, 7AM-11AM, EXCEPT SUN-HOL USE PS EXCEPT WITH PERMIT",,,0,7,7,,,,,,,,1,,bus,
R8-CLZBUSX,"BUS, 11AM-7AM EVERYDAY, 30 MINUTE COMMERCIAL OR PERMIT VEHICLE LOAD ONLY, 7AM-11AM, EXCEPT SUN-HOL USE PS EXCEPT WITH PERMIT",,30,7,11,4,1,1,1,1,1,1,,,,permit,commercial
R8-CLZBUSX-1,"BUS 6-9A 3-6:30P EXC SAT-SUN-HOL, 30 M CLZ 9A-3P EXC SUN-HOL, USE PS EXC WITH PERMIT",,,6,9,3,1,1,1,1,1,,,,,bus,
R8-CLZBUSX-1,"BUS 6-9A 3-6:30P EXC SAT-SUN-HOL, 30 M CLZ 9A-3P EXC SUN-HOL, USE PS EXC WITH PERMIT",,,15,18.5,3.5,1,1,1,1,1,,,,,bus,
R8-CLZBUSX-1,"BUS 6-9A 3-6:30P EXC SAT-SUN-HOL, 30 M CLZ 9A-3P EXC SUN-HOL, USE PS EXC WITH PERMIT",,30,9,15,6,1,1,1,1,1,1,,,,permit,commercial
R8-CLZBUSX-2,"BUS 6-9A 3-7P EXC SAT-SUN-HOL, 30 M CLZ 9A-3P 7-8P MON-FRI 7A-8P SAT USE PAY STATION EXC  WITH PERMIT",,,6,9,3,1,1,1,1,1,,,,,bus,
R8-CLZBUSX-2,"BUS 6-9A 3-7P EXC SAT-SUN-HOL, 30 M CLZ 9A-3P 7-8P MON-FRI 7A-8P SAT USE PAY STATION EXC  WITH PERMIT",,,15,19,4,1,1,1,1,1,,,,,bus,
R8-CLZBUSX-2,"BUS 6-9A 3-7P EXC SAT-SUN-HOL, 30 M CLZ 9A-3P 7-8P MON-FRI 7A-8P SAT USE PAY STATION EXC  WITH PERMIT",,30,9,15,6,1,1,1,1,1,,,,,permit,commercial
R8-CLZBUSX-2,"BUS 6-9A 3-7P EXC SAT-SUN-HOL, 30 M CLZ 9A-3P 7-8P MON-FRI 7A-8P SAT USE PAY STATION EXC  WITH PERMIT",,30,19,20,1,1,1,1,1,1,,,,,permit,commercial
R8-CLZBUSX-2,"BUS 6-9A 3-7P EXC SAT-SUN-HOL, 30 M CLZ 9A-3P 7-8P MON-FRI 7A-8P SAT USE PAY STATION EXC  WITH PERMIT",,30,7,20,13,,,,,,1,,,,permit,commercial
R8-CLZPLZX,"30 M CLZ 7A-4P EXC SUN-HOL, USE METER EXCEPT WITH PERMIT, PLZ 4P-2A EVERYDAY, TAZ",,30,7,16,9,1,1,1,1,1,1,,,,permit,commercial
R8-CLZPLZX,"30 M CLZ 7A-4P EXC SUN-HOL, USE METER EXCEPT WITH PERMIT, PLZ 4P-2A EVERYDAY, TAZ",,,16,24,8,,,,,,,,1,,dropoff,
R8-CLZPLZX,"30 M CLZ 7A-4P EXC SUN-HOL, USE METER EXCEPT WITH PERMIT, PLZ 4P-2A EVERYDAY, TAZ",,,0,2,2,,,,,,,,1,,dropoff,
R8-CLZPLZX-1,"30 M CLZ 7A-6P EXC SUN-HOL, USE PS EXC WITH PERMIT. PLZ 6P-2A, TAZ",,30,7,18,11,1,1,1,1,1,1,,,,permit,commercial
R8-CLZPLZX-1,"30 M CLZ 7A-6P EXC SUN-HOL, USE PS EXC WITH PERMIT. PLZ 6P-2A, TAZ",,,18,24,6,,,,,,,,1,,dropoff,
R8-CLZPLZX-1,"30 M CLZ 7A-6P EXC SUN-HOL, USE PS EXC WITH PERMIT. PLZ 6P-2A, TAZ",,,0,2,2,,,,,,,,1,,dropoff,
R8-CLZPLZX-2,"30 M CLZ 9A-4P EXC SUN-HOL USE PS EXC WITH PERMIT, PLZ 7-9AM 4-8PM EXC SUN-HOL",,30,9,16,7,1,1,1,1,1,1,,,,permit,commercial
R8-CLZPLZX-2,"30 M CLZ 9A-4P EXC SUN-HOL USE PS EXC WITH PERMIT, PLZ 7-9AM 4-8PM EXC SUN-HOL",,,7,9,2,1,1,1,1,1,1,,,,dropoff,
R8-CLZPLZX-2,"30 M CLZ 9A-4P EXC SUN-HOL USE PS EXC WITH PERMIT, PLZ 7-9AM 4-8PM EXC SUN-HOL",,,16,20,4,1,1,1,1,1,1,,,,dropoff,
R8-CLZPLZX-3,"30 M CLZ 9A-3P EXC SUN-HOL USE PS EXC WITH PERMIT, 3 MIN PLZ 6-9AM 3-8PM EXC SUN-HOL",,30,9,15,6,1,1,1,1,1,1,,,,permit,commercial
R8-CLZPLZX-3,"30 M CLZ 9A-3P EXC SUN-HOL USE PS EXC WITH PERMIT, 3 MIN PLZ 6-9AM 3-8PM EXC SUN-HOL",,,6,9,3,1,1,1,1,1,1,,,,dropoff,
R8-CLZPLZX-3,"30 M CLZ 9A-3P EXC SUN-HOL USE PS EXC WITH PERMIT, 3 MIN PLZ 6-9AM 3-8PM EXC SUN-HOL",,,15,20,5,1,1,1,1,1,1,,,,dropoff,
R8-CLZPLZX-4,"30 M CLZ 7A-6P EXC SUN-HOL, USE PS EXC WITH PERMIT. PLZ 6P-3A, FRI-SAT, TAZ",,30,7,18,11,1,1,1,1,1,1,,,,permit,commercial
R8-CLZPLZX-4,"30 M CLZ 7A-6P EXC SUN-HOL, USE PS EXC WITH PERMIT. PLZ 6P-3A, FRI-SAT, TAZ",,,18,24,6,,,,,1,1,,,,dropoff,
R8-CLZPLZX-4,"30 M CLZ 7A-6P EXC SUN-HOL, USE PS EXC WITH PERMIT. PLZ 6P-3A, FRI-SAT, TAZ",,,0,3,3,,,,,1,1,,,,dropoff,
R8-CLZPLZX-5,"30 M CLZ 7A-6P EXC SUN-HOL USE PS EXC WITH PERMIT, PLZ 6PM-7AM EVERYDAY",,30,7,18,11,1,1,1,1,1,1,,,,permit,commercial
R8-CLZPLZX-5,"30 M CLZ 7A-6P EXC SUN-HOL USE PS EXC WITH PERMIT, PLZ 6PM-7AM EVERYDAY",,,18,24,6,,,,,,,,1,,dropoff,
R8-CLZPLZX-5,"30 M CLZ 7A-6P EXC SUN-HOL USE PS EXC WITH PERMIT, PLZ 6PM-7AM EVERYDAY",,,0,7,7,,,,,,,,1,,dropoff,
R8-CLZPLZX-6,"30 M CLZ 9A-4P EXC SUN-HOL USE PS EXC WITH PERMIT, PLZ 7-9AM 4-8PM EXC SUN-HOL",,30,9,16,7,1,1,1,1,1,1,,,,permit,commercial
R8-CLZPLZX-6,"30 M CLZ 9A-4P EXC SUN-HOL USE PS EXC WITH PERMIT, PLZ 7-9AM 4-8PM EXC SUN-HOL",,,7,9,2,1,1,1,1,1,1,,,,dropoff,
R8-CLZPLZX-6,"30 M CLZ 9A-4P EXC SUN-HOL USE PS EXC WITH PERMIT, PLZ 7-9AM 4-8PM EXC SUN-HOL",,,16,20,4,1,1,1,1,1,1,,,,dropoff,
R8-CLZPLZX-7,"30 M CLZ 9-11A EXC SUN-HOL, USE PS EXC WITH PERMIT, PLZ 11A-3P 6-11P EVERYDAY",,30,9,11,2,1,1,1,1,1,1,,,,permit,commercial
R8-CLZPLZX-7,"30 M CLZ 9-11A EXC SUN-HOL, USE PS EXC WITH PERMIT, PLZ 11A-3P 6-11P EVERYDAY",,,11,15,4,1,1,1,1,1,1,,,,dropoff,
R8-CLZPLZX-7,"30 M CLZ 9-11A EXC SUN-HOL, USE PS EXC WITH PERMIT, PLZ 11A-3P 6-11P EVERYDAY",,,18,23,5,1,1,1,1,1,1,,,,dropoff,
R8-CLZPLZX-8,30 M CLZ 7AM-6PM EXC SUN-HOL USE PS EXC WITH PERMIT PLZ 6PM-MIDNIGHT EVERYDAY,,30,7,18,11,1,1,1,1,1,1,,,,permit,commercial
R8-CLZPLZX-8,30 M CLZ 7AM-6PM EXC SUN-HOL USE PS EXC WITH PERMIT PLZ 6PM-MIDNIGHT EVERYDAY,,,18,24,6,,,,,,,,1,,dropoff,
R8-CLZPLZX-9,"30 M CLZ, 7-11A EXC SUN-HOL, USE PS EXC WITH PERMIT, PLZ 11A-2A, TAZ",,30,7,11,4,1,1,1,1,1,1,,,,permit,commercial
R8-CLZPLZX-9,"30 M CLZ, 7-11A EXC SUN-HOL, USE PS EXC WITH PERMIT, PLZ 11A-2A, TAZ",,,11,24,13,,,,,,,,1,,dropoff,
